CASEID,YEAR,SAVING,MMDA
1074,1989,0,0
1075,1989,0,0
1076,1989,0,0
1077,1989,0,0
1078,1989,0,0
1079,1989,0,0
1080,1989,0,0
1081,1989,0,14460.57
1082,1989,0,14460.57
1083,1989,0,14460.57
1084,1989,0,14460.57
1085,1989,0,14460.57
1086,1989,1662.97,0
1087,1989,1662.97,0
1088,1989,1662.97,0
1089,1989,1662.97,0
1090,1989,1662.97,0
1091,1989,0,0
1092,1989,0,0
1093,1989,0,0
1094,1989,0,0
1095,1989,0,0
1096,1989,0,0
1097,1989,0,0
1098,1989,0,0
1099,1989,0,0
1100,1989,0,0
1101,1989,0,0
1102,1989,0,0
1103,1989,0,0
1104,1989,0,0
1105,1989,0,0
1106,1989,1373.75,0
1107,1989,1572.59,0
1108,1989,1265.3,0
1109,1989,1662.97,0
1110,1989,1662.97,0
1111,1989,903.79,0
1112,1989,903.79,0
1113,1989,903.79,0
1114,1989,903.79,0
1115,1989,903.79,0
1116,1989,0,0
1117,1989,0,0
1118,1989,0,0
1119,1989,0,0
1120,1989,0,0
1121,1989,0,0
1122,1989,0,0
1123,1989,0,0
1124,1989,0,0
1125,1989,0,0
1126,1989,2892.11,25305.99
1127,1989,2892.11,25305.99
1128,1989,2892.11,25305.99
1129,1989,2892.11,25305.99
1130,1989,2892.11,25305.99
1131,1989,12291.48,0
1132,1989,12291.48,0
1133,1989,12291.48,0
1134,1989,12291.48,0
1135,1989,12291.48,0
1136,1989,0,0
1137,1989,0,0
1138,1989,0,0
1139,1989,0,0
1140,1989,0,0
1141,1989,0,0
1142,1989,0,0
1143,1989,0,0
1144,1989,0,0
1145,1989,0,0
1146,1989,0,1807.57
1147,1989,0,1807.57
1148,1989,0,1807.57
1149,1989,0,1807.57
1150,1989,0,1807.57
1151,1989,0,0
1152,1989,0,0
1153,1989,0,0
1154,1989,0,0
1155,1989,0,0
1156,1989,0,12653
1157,1989,0,12653
1158,1989,0,7230.28
1159,1989,0,19883.28
1160,1989,0,7230.28
1161,1989,0,0
1162,1989,0,0
1163,1989,0,0
1164,1989,0,0
1165,1989,0,0
1166,1989,0,27113.56
1167,1989,0,27113.56
1168,1989,0,27113.56
1169,1989,0,27113.56
1170,1989,0,27113.56
1171,1989,0,0
1172,1989,0,0
1173,1989,0,0
1174,1989,0,0
1175,1989,0,0
1176,1989,903.79,5422.71
1177,1989,903.79,5422.71
1178,1989,903.79,5422.71
1179,1989,903.79,5422.71
1180,1989,903.79,5422.71
1181,1989,3615.14,0
1182,1989,3615.14,0
1183,1989,3615.14,0
1184,1989,3615.14,0
1185,1989,3615.14,0
1186,1989,56034.7,0
1187,1989,56034.7,0
1188,1989,56034.7,0
1189,1989,56034.7,0
1190,1989,56034.7,0
1191,1989,1265.3,0
1192,1989,1355.68,0
1193,1989,1572.59,0
1194,1989,1807.57,0
1195,1989,1265.3,0
1196,1989,0,0
1197,1989,0,0
1198,1989,0,0
1199,1989,0,0
1200,1989,0,0
1201,1989,506.12,0
1202,1989,506.12,0
1203,1989,506.12,0
1204,1989,506.12,0
1205,1989,506.12,0
1206,1989,0,0
1207,1989,0,0
1208,1989,0,0
1209,1989,0,0
1210,1989,0,0
1211,1989,5061.2,0
1212,1989,5061.2,0
1213,1989,5061.2,0
1214,1989,5061.2,0
1215,1989,5061.2,0
1216,1989,4518.93,0
1217,1989,4518.93,0
1218,1989,4518.93,0
1219,1989,4518.93,0
1220,1989,4518.93,0
1221,1989,0,0
1222,1989,0,0
1223,1989,0,0
1224,1989,0,0
1225,1989,0,0
1226,1989,939.94,0
1227,1989,939.94,0
1228,1989,939.94,0
1229,1989,939.94,0
1230,1989,939.94,0
1231,1989,0,140990.54
1232,1989,0,140990.54
1233,1989,0,140990.54
1234,1989,0,140990.54
1235,1989,0,140990.54
1236,1989,0,0
1237,1989,0,0
1238,1989,0,0
1239,1989,0,0
1240,1989,0,0
1241,1989,0,0
1242,1989,0,0
1243,1989,0,0
1244,1989,0,0
1245,1989,0,0
1246,1989,1265.3,0
1247,1989,994.16,0
1248,1989,5422.71,0
1249,1989,3615.14,0
1250,1989,813.41,0
1251,1989,0,0
